Team,Number,Name,Overseas,Role
CHENNAI SUPER KINGS,1,RUTURAJ GAIKWAD,OVS,BATTER
CHENNAI SUPER KINGS,2,FAF du PLESSIS,,BATTER
CHENNAI SUPER KINGS,3,SURESH RAINA,,BATTER
CHENNAI SUPER KINGS,4,MOEEN ALI,,ALL ROUNDER
CHENNAI SUPER KINGS,5,AMBATI RAYUDU,,BATTER
CHENNAI SUPER KINGS,6,MS DHONI (c),,WICKET KEEPER
CHENNAI SUPER KINGS,7,RAVINDRA JADEJA,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,8,DWAYNE BRAVO,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,9,SHARDUL THAKUR,,BOWLER
CHENNAI SUPER KINGS,10,DEEPAK CHAHAR,,BOWLER
CHENNAI SUPER KINGS,11,JOSH HAZLEWOOD,OVS,BOWLER
DELHI CAPITALS,1,SHIKHAR DHAWAN,,BATTER
DELHI CAPITALS,2,PRITHVI SHAW,,BATTER
DELHI CAPITALS,3,SHREYAS IYER (c),,BATTER
DELHI CAPITALS,4,RISHABH PANT,,WICKET KEEPER
DELHI CAPITALS,5,MARCUS STOINIS,OVS,ALL ROUNDER
DELHI CAPITALS,6,SHIMRON HETMYER,OVS,BATTER
DELHI CAPITALS,7,AXAR PATEL,,ALL ROUNDER
DELHI CAPITALS,8,RAVICHANDRAN ASHWIN ,,ALL ROUNDER
DELHI CAPITALS,9,KAGISO RABADA,OVS,BOWLER
DELHI CAPITALS,10,ANRICH NORTJE,OVS,BOWLER
DELHI CAPITALS,11,AVESH KHAN,,BOWLER
KOLKATA KNIGHT RIDERS,1,SHUBMAN GILL,,BATTER
KOLKATA KNIGHT RIDERS,2,NITISH RANA,,BATTER
KOLKATA KNIGHT RIDERS,3,RAHUL TRIPATHI,,BATTER
KOLKATA KNIGHT RIDERS,4,EOIN MORGAN (c),OVS,BATTER
KOLKATA KNIGHT RIDERS,5,SHAKIB AL HASAN,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,6,DINESH KARTHIK ,,WICKET KEEPER
KOLKATA KNIGHT RIDERS,7,ANDRE RUSSELL,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,8,PAT CUMMINS,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,9,HARBHAJAN SINGH,,ALL ROUNDER
KOLKATA KNIGHT RIDERS,10,SHIVAM MAVI,,BOWLER
KOLKATA KNIGHT RIDERS,11,VARUN CHAKRAVARTHY,,BOWLER
MUMBAI INDIANS,1,ROHIT SHARMA (c),,BATTER
MUMBAI INDIANS,2,QUINTON de KOCK,OVS,WICKET KEEPER
MUMBAI INDIANS,3,SURYAKUMAR YADAV,,BATTER
MUMBAI INDIANS,4,ISHAN KISHAN,,BATTER
MUMBAI INDIANS,5,KIERON POLLARD,OVS,ALL ROUNDER
MUMBAI INDIANS,6,KRUNAL PANDYA,,ALL ROUNDER
MUMBAI INDIANS,7,HARDIK PANDYA,,ALL ROUNDER
MUMBAI INDIANS,8,NATHAN COULTER-NILE,OVS,BOWLER
MUMBAI INDIANS,9,JASPRIT BUMRAH,,BOWLER
MUMBAI INDIANS,10,TRENT BOULT,OVS,BOWLER
MUMBAI INDIANS,11,RAHUL CHAHAR,,BOWLER
PUNJAB KINGS,1,MAYANK AGARWAL,OVS,BATTER
PUNJAB KINGS,2,KL RAHUL (c),,WICKET KEEPER
PUNJAB KINGS,3,CHRIS GAYLE,OVS,BATTER
PUNJAB KINGS,4,NICHOLAS POORAN,OVS,BATTER
PUNJAB KINGS,5,MANDEEP SINGH,,BATTER
PUNJAB KINGS,6,SHAHRUKH KHAN,,BATTER
PUNJAB KINGS,7,FABIAN ALLEN,OVS,ALL ROUNDER
PUNJAB KINGS,8,JHYE RICHARDSON,OVS,BOWLER
PUNJAB KINGS,9,MOHAMMED SHAMI,,BOWLER
PUNJAB KINGS,10,ARSHDEEP SINGH,,BOWLER
PUNJAB KINGS,11,MURUGAN ASHWIN,,BOWLER
RAJASTHAN ROYALS,1,MANAN VOHRA,,BATTER
RAJASTHAN ROYALS,2,JOS BUTTLER,OVS,WICKET KEEPER
RAJASTHAN ROYALS,3,SANJU SAMSON (c),,BATTER
RAJASTHAN ROYALS,4,LIAM LIVINGSTONE,OVS,BATTER
RAJASTHAN ROYALS,5,RIYAN PARAG,,ALL ROUNDER
RAJASTHAN ROYALS,6,RAHUL TEWATIA,,ALL ROUNDER
RAJASTHAN ROYALS,7,CHRIS MORRIS,OVS,ALL ROUNDER
RAJASTHAN ROYALS,8,SHREYAS GOPAL,,BOWLER
RAJASTHAN ROYALS,9,CHETAN SAKARIYA,,BOWLER
RAJASTHAN ROYALS,10,JAYDEV UNADKAT,,BOWLER
RAJASTHAN ROYALS,11,MUSTAFIZUR RAHMAN,OVS,BOWLER
ROYAL CHALLENGERS BENGALURU,1,DEVDUTT PADIKKAL,,BATTER
ROYAL CHALLENGERS BENGALURU,2,VIRAT KOHLI (c),,BATTER
ROYAL CHALLENGERS BENGALURU,3,AB de VILLIERS,OVS,WICKET KEEPER
ROYAL CHALLENGERS BENGALURU,4,RAJAT PATIDAR,,BATTER
ROYAL CHALLENGERS BENGALURU,5,GLENN MAXWELL,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,6,SHAHBAZ AHMED,,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,7,DANIEL CHRISTIAN,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,8,KYLE JAMIESON,OVS,BOWLER
ROYAL CHALLENGERS BENGALURU,9,HARSHAL PATEL,,BOWLER
ROYAL CHALLENGERS BENGALURU,10,MOHAMMED SIRAJ,,BOWLER
ROYAL CHALLENGERS BENGALURU,11,YUZVENDRA CHAHAL,,BOWLER
SUNRISERS HYDERABAD,1,DAVID WARNER (c),OVS,BATTER
SUNRISERS HYDERABAD,2,JONNY BAIRSTOW,OVS,WICKET KEEPER
SUNRISERS HYDERABAD,3,MANISH PANDEY,,BATTER
SUNRISERS HYDERABAD,4,ABHISHEK SHARMA,,ALL ROUNDER
SUNRISERS HYDERABAD,5,VIJAY SHANKAR,,ALL ROUNDER
SUNRISERS HYDERABAD,6,ABDUL SAMAD,,BATTER
