Team,Number,Name,Overseas,Role
CHENNAI SUPER KINGS,1,RUTURAJ GAIKWAD,,BATTER
CHENNAI SUPER KINGS,2,DEVON CONWAY,OVS,BATTER
CHENNAI SUPER KINGS,3,ROBIN UTHAPPA,,BATTER
CHENNAI SUPER KINGS,4,AMBATI RAYUDU,,BATTER
CHENNAI SUPER KINGS,5,MOEEN ALI,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,6,RAVINDRA JADEJA (c),,ALL ROUNDER
CHENNAI SUPER KINGS,7,MS DHONI ,,WICKET KEEPER
CHENNAI SUPER KINGS,8,DWAYNE BRAVO,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,9,DEEPAK CHAHAR,,BOWLER
CHENNAI SUPER KINGS,10,RAJVARDHAN HANGARGEKAR,,BOWLER
CHENNAI SUPER KINGS,11,MAHEESH THEEKSHANA,OVS,BOWLER
DELHI CAPITALS,1,DAVID WARNER,OVS,BATTER
DELHI CAPITALS,2,PRITHVI SHAW,,BATTER
DELHI CAPITALS,3,MITCHELL MARSH,OVS,ALL ROUNDER
DELHI CAPITALS,4,RISHABH PANT (c),,WICKET KEEPER
DELHI CAPITALS,5,ROVMAN POWELL,OVS,BATTER
DELHI CAPITALS,6,LALIT YADAV,,ALL ROUNDER
DELHI CAPITALS,7,AXAR PATEL,,ALL ROUNDER
DELHI CAPITALS,8,SHARDUL THAKUR,,ALL ROUNDER
DELHI CAPITALS,9,KULDEEP YADAV,,BOWLER
DELHI CAPITALS,10,ANRICH NORTJE,OVS,BOWLER
DELHI CAPITALS,11,KHALEEL AHMED,,BOWLER
GUJARAT TITANS,1,SHUBMAN GILL,,BATTER
GUJARAT TITANS,2,MATTHEW WADE,OVS,WICKET KEEPER
GUJARAT TITANS,3,VIJAY SHANKAR,,ALL ROUNDER
GUJARAT TITANS,4,ABHINAV MANOHAR,,BATTER
GUJARAT TITANS,5,HARDIK PANDYA (c),,ALL ROUNDER
GUJARAT TITANS,6,DAVID MILLER,OVS,BATTER
GUJARAT TITANS,7,RAHUL TEWATIA,,ALL ROUNDER
GUJARAT TITANS,8,RASHID KHAN,OVS,ALL ROUNDER
GUJARAT TITANS,9,MOHAMMED SHAMI,,BOWLER
GUJARAT TITANS,10,LOCKIE FERGUSON,OVS,BOWLER
GUJARAT TITANS,11,VARUN AARON,,BOWLER
KOLKATA KNIGHT RIDERS,1,AARON FINCH,OVS,BATTER
KOLKATA KNIGHT RIDERS,2,VENKATESH IYER,,ALL ROUNDER
KOLKATA KNIGHT RIDERS,3,SHREYAS IYER (c),,BATTER
KOLKATA KNIGHT RIDERS,4,SHELDON JACKSON,,WICKET KEEPER
KOLKATA KNIGHT RIDERS,5,NITISH RANA,,BATTER
KOLKATA KNIGHT RIDERS,6,ANDRE RUSSELL,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,7,SUNIL NARINE,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,8,PAT CUMMINS,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,9,UMESH YADAV,,BOWLER
KOLKATA KNIGHT RIDERS,10,SHIVAM MAVI,,BOWLER
KOLKATA KNIGHT RIDERS,11,VARUN CHAKRAVARTHY,,BOWLER
LUCKNOW SUPER GIANTS,1,KL RAHUL (c),,BATTER
