Team,Number,Name,Overseas,Role
CHENNAI SUPER KINGS,1,RUTURAJ GAIKWAD (c),,BATTER
CHENNAI SUPER KINGS,2,RACHIN RAVINDRA,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,3,RAHUL TRIPATHI,,BATTER
CHENNAI SUPER KINGS,4,SHIVAM DUBE,,ALL ROUNDER
CHENNAI SUPER KINGS,5,SAM CURRAN,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,6,VIJAY SHANKAR,,ALL ROUNDER
CHENNAI SUPER KINGS,7,RAVINDRA JADEJA,,ALL ROUNDER
CHENNAI SUPER KINGS,8,MS DHONI,,WICKET KEEPER
CHENNAI SUPER KINGS,9,RAVICHANDRAN ASHWIN,,ALL ROUNDER
CHENNAI SUPER KINGS,10,NOOR AHMAD,OVS,BOWLER
CHENNAI SUPER KINGS,11,KHALEEL AHMED,,BOWLER
CHENNAI SUPER KINGS,IMPACT,MATHEESHA PATHIRANA,OVS,BOWLER
DELHI CAPITALS,1,JAKE FRASER-McGURK,OVS,BATTER
DELHI CAPITALS,2,FAF du PLESSIS,OVS,BATTER
DELHI CAPITALS,3,ABISHEK POREL,,BATTER
DELHI CAPITALS,4,KL RAHUL,,WICKET KEEPER
DELHI CAPITALS,5,TRISTAN STUBBS,OVS,BATTER
DELHI CAPITALS,6,AXAR PATEL (c),,ALL ROUNDER
DELHI CAPITALS,7,ASHUTOSH SHARMA,,BATTER
DELHI CAPITALS,8,VIPRAJ NIGAM,,ALL ROUNDER
DELHI CAPITALS,9,MITCHELL STARC,OVS,BOWLER
DELHI CAPITALS,10,KULDEEP YADAV,,BOWLER
DELHI CAPITALS,11,MUKESH KUMAR,,BOWLER
DELHI CAPITALS,IMPACT,T NATARAJAN,,BOWLER
GUJARAT TITANS,1,SHUBMAN GILL (c),,BATTER
GUJARAT TITANS,2,SAI SUDHARSAN,,BATTER
GUJARAT TITANS,3,JOS BUTTLER,OVS,WICKET KEEPER
GUJARAT TITANS,4,SHERFANE RUTHERFORD,OVS,BATTER
GUJARAT TITANS,5,SHAHRUKH KHAN,,BATTER
GUJARAT TITANS,6,RAHUL TEWATIA,,ALL ROUNDER
GUJARAT TITANS,7,WASHINGTON SUNDAR,,ALL ROUNDER
GUJARAT TITANS,8,RASHID KHAN,OVS,ALL ROUNDER
GUJARAT TITANS,9,R SAI KISHORE,,BOWLER
GUJARAT TITANS,10,KAGISO RABADA,OVS,BOWLER
GUJARAT TITANS,11,MOHAMMED SIRAJ,,BOWLER
GUJARAT TITANS,IMPACT,PRASIDH KRISHNA,,BOWLER
KOLKATA KNIGHT RIDERS,1,QUINTON de KOCK,OVS,WICKET KEEPER
KOLKATA KNIGHT RIDERS,2,SUNIL NARINE,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,3,AJINKYA RAHANE (c),,BATTER
KOLKATA KNIGHT RIDERS,4,ANGKRISH RAGHUVANSHI,,BATTER
KOLKATA KNIGHT RIDERS,5,VENKATESH IYER,,ALL ROUNDER
KOLKATA KNIGHT RIDERS,6,RINKU SINGH,,BATTER
KOLKATA KNIGHT RIDERS,7,ANDRE RUSSELL,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,8,RAMANDEEP SINGH,,ALL ROUNDER
KOLKATA KNIGHT RIDERS,9,HARSHIT RANA,,BOWLER
KOLKATA KNIGHT RIDERS,10,VARUN CHAKRAVARTHY,,BOWLER
KOLKATA KNIGHT RIDERS,11,ANRICH NORTJE,OVS,BOWLER
KOLKATA KNIGHT RIDERS,IMPACT,VAIBHAV ARORA,,BOWLER
LUCKNOW SUPER GIANTS,1,MITCHELL MARSH,OVS,ALL ROUNDER
LUCKNOW SUPER GIANTS,2,AIDEN MARKRAM,OVS,BATTER
LUCKNOW SUPER GIANTS,3,RISHABH PANT (c),,WICKET KEEPER
LUCKNOW SUPER GIANTS,4,NICHOLAS POORAN,OVS,BATTER
LUCKNOW SUPER GIANTS,5,AYUSH BADONI,,ALL ROUNDER
LUCKNOW SUPER GIANTS,6,DAVID MILLER,OVS,BATTER
LUCKNOW SUPER GIANTS,7,ABDUL SAMAD,,BATTER
LUCKNOW SUPER GIANTS,8,SHAHBAZ AHMED,,ALL ROUNDER
LUCKNOW SUPER GIANTS,9,AVESH KHAN,,BOWLER
LUCKNOW SUPER GIANTS,10,MOHSIN KHAN,,BOWLER
LUCKNOW SUPER GIANTS,11,RAVI BISHNOI,,BOWLER
LUCKNOW SUPER GIANTS,IMPACT,MAYANK YADAV,,BOWLER
MUMBAI INDIANS,1,ROHIT SHARMA,,BATTER
MUMBAI INDIANS,2,RYAN RICKELTON,OVS,WICKET KEEPER
MUMBAI INDIANS,3,WILL JACKS,OVS,ALL ROUNDER
MUMBAI INDIANS,4,SURYAKUMAR YADAV,,BATTER
MUMBAI INDIANS,5,TILAK VARMA,,ALL ROUNDER
MUMBAI INDIANS,6,HARDIK PANDYA (c),,ALL ROUNDER
MUMBAI INDIANS,7,NAMAN DHIR,,ALL ROUNDER
MUMBAI INDIANS,8,MITCHELL SANTNER,OVS,ALL ROUNDER
MUMBAI INDIANS,9,DEEPAK CHAHAR,,BOWLER
MUMBAI INDIANS,10,JASPRIT BUMRAH,,BOWLER
MUMBAI INDIANS,11,TRENT BOULT,OVS,BOWLER
MUMBAI INDIANS,IMPACT,KARN SHARMA,,BOWLER
PUNJAB KINGS,1,PRABHSIMRAN SINGH,,WICKET KEEPER
PUNJAB KINGS,2,PRIYANSH ARYA,,BATTER
PUNJAB KINGS,3,SHREYAS IYER (c),,BATTER
PUNJAB KINGS,4,GLENN MAXWELL,OVS,ALL ROUNDER
PUNJAB KINGS,5,NEHAL WADHERA,,BATTER
PUNJAB KINGS,6,MARCUS STOINIS,OVS,ALL ROUNDER
PUNJAB KINGS,7,SHASHANK SINGH,,BATTER
PUNJAB KINGS,8,MARCO JANSEN,OVS,ALL ROUNDER
PUNJAB KINGS,9,HARPREET BRAR,,ALL ROUNDER
PUNJAB KINGS,10,LOCKIE FERGUSON,OVS,BOWLER
PUNJAB KINGS,11,ARSHDEEP SINGH,,BOWLER
PUNJAB KINGS,IMPACT,YUZVENDRA CHAHAL,,BOWLER
RAJASTHAN ROYALS,1,YASHASVI JAISWAL,,BATTER
RAJASTHAN ROYALS,2,SANJU SAMSON (c),,WICKET KEEPER
RAJASTHAN ROYALS,3,NITISH RANA,,BATTER
RAJASTHAN ROYALS,4,RIYAN PARAG,,ALL ROUNDER
RAJASTHAN ROYALS,5,DHRUV JUREL,,BATTER
RAJASTHAN ROYALS,6,SHIMRON HETMYER,OVS,BATTER
RAJASTHAN ROYALS,7,SHUBHAM DUBEY,,BATTER
RAJASTHAN ROYALS,8,WANINDU HASARANGA,OVS,ALL ROUNDER
RAJASTHAN ROYALS,9,JOFRA ARCHER,OVS,BOWLER
RAJASTHAN ROYALS,10,TUSHAR DESHPANDE,,BOWLER
RAJASTHAN ROYALS,11,MAHEESH THEEKSHANA,OVS,BOWLER
RAJASTHAN ROYALS,IMPACT,SANDEEP SHARMA,,BOWLER
ROYAL CHALLENGERS BENGALURU,1,PHIL SALT,OVS,WICKET KEEPER
ROYAL CHALLENGERS BENGALURU,2,VIRAT KOHLI,,BATTER
ROYAL CHALLENGERS BENGALURU,3,DEVDUTT PADIKKAL,,BATTER
ROYAL CHALLENGERS BENGALURU,4,RAJAT PATIDAR (c),,BATTER
ROYAL CHALLENGERS BENGALURU,5,LIAM LIVINGSTONE,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,6,TIM DAVID,OVS,BATTER
ROYAL CHALLENGERS BENGALURU,7,JITESH SHARMA,,BATTER
ROYAL CHALLENGERS BENGALURU,8,KRUNAL PANDYA,,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,9,BHUVNESHWAR KUMAR,,BOWLER
ROYAL CHALLENGERS BENGALURU,10,YASH DAYAL,,BOWLER
ROYAL CHALLENGERS BENGALURU,11,JOSH HAZLEWOOD,OVS,BOWLER
ROYAL CHALLENGERS BENGALURU,IMPACT,SUYASH SHARMA,,BOWLER
SUNRISERS HYDERABAD,1,TRAVIS HEAD,OVS,BATTER
SUNRISERS HYDERABAD,2,ABHISHEK SHARMA,,ALL ROUNDER
SUNRISERS HYDERABAD,3,ISHAN KISHAN,,BATTER
SUNRISERS HYDERABAD,4,NITISH KUMAR REDDY,,ALL ROUNDER
SUNRISERS HYDERABAD,5,HEINRICH KLAASEN,OVS,WICKET KEEPER
SUNRISERS HYDERABAD,6,ABHINAV MANOHAR,,BATTER
SUNRISERS HYDERABAD,7,ANIKET VARMA,,BATTER
SUNRISERS HYDERABAD,8,PAT CUMMINS (c),OVS,ALL ROUNDER
SUNRISERS HYDERABAD,9,HARSHAL PATEL,,BOWLER
SUNRISERS HYDERABAD,10,RAHUL CHAHAR,,BOWLER
SUNRISERS HYDERABAD,11,MOHAMMED SHAMI,,BOWLER
SUNRISERS HYDERABAD,IMPACT,ADAM ZAMPA,OVS,BOWLER
