Team,Number,Name,Overseas,Role
CHENNAI SUPER KINGS,1,SANJU SAMSON,,BATTER
CHENNAI SUPER KINGS,2,AYUSH MHATRE,,BATTER
CHENNAI SUPER KINGS,3,RUTURAJ GAIKWAD (c),,BATTER
CHENNAI SUPER KINGS,4,SHIVAM DUBE,,ALL ROUNDER
CHENNAI SUPER KINGS,5,DEWALD BREVIS,OVS,BATTER
CHENNAI SUPER KINGS,6,KARTIK SHARMA,,BATTER
CHENNAI SUPER KINGS,7,MS DHONI,,WICKET KEEPER
CHENNAI SUPER KINGS,8,PRASHANT VEER,,ALL ROUNDER
CHENNAI SUPER KINGS,9,AKEAL HOSEIN,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,10,NATHAN ELLIS,OVS,BOWLER
CHENNAI SUPER KINGS,11,NOOR AHMAD,OVS,BOWLER
CHENNAI SUPER KINGS,IMPACT,KHALEEL AHMED,,BOWLER
DELHI CAPITALS,1,PATHUM NISSANKA,OVS,BATTER
DELHI CAPITALS,2,KL RAHUL,,WICKET KEEPER
DELHI CAPITALS,3,NITISH RANA,,BATTER
DELHI CAPITALS,4,TRISTAN STUBBS,OVS,BATTER
DELHI CAPITALS,5,DAVID MILLER,OVS,BATTER
DELHI CAPITALS,6,AXAR PATEL (c),,ALL ROUNDER
DELHI CAPITALS,7,ASHUTOSH SHARMA,,BATTER
DELHI CAPITALS,8,VIPRAJ NIGAM,,ALL ROUNDER
DELHI CAPITALS,9,AUQIB NABI DAR,,ALL ROUNDER
DELHI CAPITALS,10,MITCHELL STARC,OVS,BOWLER
DELHI CAPITALS,11,KULDEEP YADAV,,BOWLER
DELHI CAPITALS,IMPACT,T NATARAJAN,,BOWLER
GUJARAT TITANS,1,SHUBMAN GILL (c),,BATTER
GUJARAT TITANS,2,SAI SUDHARSAN,,BATTER
GUJARAT TITANS,3,JOS BUTTLER,OVS,WICKET KEEPER
GUJARAT TITANS,4,KUMAR KUSHAGRA,,BATTER
GUJARAT TITANS,5,GLENN PHILLIPS,OVS,BATTER
GUJARAT TITANS,6,RAHUL TEWATIA,,ALL ROUNDER
GUJARAT TITANS,7,WASHINGTON SUNDAR,,ALL ROUNDER
GUJARAT TITANS,8,RASHID KHAN,OVS,ALL ROUNDER
GUJARAT TITANS,9,R SAI KISHORE,,BOWLER
GUJARAT TITANS,10,KAGISO RABADA,OVS,BOWLER
GUJARAT TITANS,11,MOHAMMED SIRAJ,,BOWLER
GUJARAT TITANS,IMPACT,PRASIDH KRISHNA,,BOWLER
KOLKATA KNIGHT RIDERS,1,TIM SEIFERT,OVS,BATTER
KOLKATA KNIGHT RIDERS,2,AJINKYA RAHANE (c),,BATTER
KOLKATA KNIGHT RIDERS,3,CAMERON GREEN,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,4,ANGKRISH RAGHUVANSHI,,BATTER
