Team,Number,Name,Overseas,Role
CHENNAI SUPER KINGS,1,SHANE WATSON,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,2,FAF du PLESSIS,OVS,BATTER
CHENNAI SUPER KINGS,3,SURESH RAINA,,ALL ROUNDER
CHENNAI SUPER KINGS,4,AMBATI RAYUDU,,BATTER
CHENNAI SUPER KINGS,5,KEDAR JADHAV,,BATTER
CHENNAI SUPER KINGS,6,MS DHONI (c),,WICKET KEEPER
CHENNAI SUPER KINGS,7,RAVINDRA JADEJA,,ALL ROUNDER
CHENNAI SUPER KINGS,8,DWAYNE BRAVO,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,9,HARBHAJAN SINGH,,BOWLER
CHENNAI SUPER KINGS,10,DEEPAK CHAHAR,,BOWLER
CHENNAI SUPER KINGS,11,MARK WOOD,OVS,BOWLER
DELHI DAREDEVILS,1,GAUTAM GAMBHIR (c),,BATTER
DELHI DAREDEVILS,2,COLIN MUNRO,OVS,BATTER
DELHI DAREDEVILS,3,SHREYAS IYER,,BATTER
DELHI DAREDEVILS,4,RISHABH PANT,,WICKET KEEPER
DELHI DAREDEVILS,5,VIJAY SHANKAR,,ALL ROUNDER
DELHI DAREDEVILS,6,GLENN MAXWELL,OVS,ALL ROUNDER
DELHI DAREDEVILS,7,DANIEL CHRISTIAN,OVS,ALL ROUNDER
DELHI DAREDEVILS,8,AMIT MISHRA,,BOWLER
DELHI DAREDEVILS,9,TRENT BOULT,OVS,BOWLER
DELHI DAREDEVILS,10,HARSHAL PATEL,,BOWLER
DELHI DAREDEVILS,11,MOHAMMED SHAMI,,BOWLER
KOLKATA KNIGHT RIDERS,1,CHRIS LYNN,OVS,BATTER
KOLKATA KNIGHT RIDERS,2,SUNIL NARINE,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,3,ROBIN UTHAPPA,,BATTER
KOLKATA KNIGHT RIDERS,4,NITISH RANA,,BATTER
KOLKATA KNIGHT RIDERS,5,SHUBMAN GILL,,BATTER
KOLKATA KNIGHT RIDERS,6,DINESH KARTHIK (c),,WICKET KEEPER
KOLKATA KNIGHT RIDERS,7,ANDRE RUSSELL,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,8,PIYUSH CHAWLA,,BOWLER
KOLKATA KNIGHT RIDERS,9,KULDEEP YADAV,,BOWLER
KOLKATA KNIGHT RIDERS,10,MITCHELL JOHNSON,OVS,BOWLER
KOLKATA KNIGHT RIDERS,11,SHIVAM MAVI,,BOWLER
MUMBAI INDIANS,1,ROHIT SHARMA (c),,BATTER
MUMBAI INDIANS,2,EVIN LEWIS,OVS,BATTER
MUMBAI INDIANS,3,ISHAN KISHAN,,WICKET KEEPER
MUMBAI INDIANS,4,SURYAKUMAR YADAV,,BATTER
MUMBAI INDIANS,5,KIERON POLLARD,OVS,ALL ROUNDER
MUMBAI INDIANS,6,KRUNAL PANDYA,,ALL ROUNDER
MUMBAI INDIANS,7,HARDIK PANDYA,,ALL ROUNDER
MUMBAI INDIANS,8,MITCHELL McCLENAGHAN,OVS,BOWLER
MUMBAI INDIANS,9,JASPRIT BUMRAH,,BOWLER
MUMBAI INDIANS,10,MUSTAFIZUR RAHMAN,OVS,BOWLER
