Team,Number,Name,Overseas,Role
SUNRISERS HYDERABAD,2,JONNY BAIRSTOW,OVS,WICKET KEEPER
SUNRISERS HYDERABAD,3,MANISH PANDEY,,BATTER
SUNRISERS HYDERABAD,4,YUSUF PATHAN,,ALL ROUNDER
SUNRISERS HYDERABAD,5,VIJAY SHANKAR,,ALL ROUNDER
SUNRISERS HYDERABAD,6,DEEPAK HOODA,,BATTER
SUNRISERS HYDERABAD,7,MOHAMMED NABI,OVS,ALL ROUNDER
SUNRISERS HYDERABAD,8,RASHID KHAN,OVS,BOWLER
SUNRISERS HYDERABAD,9,BHUVNESHWAR KUMAR,,BOWLER
SUNRISERS HYDERABAD,10,T NATARAJAN,,BOWLER
SUNRISERS HYDERABAD,11,SANDEEP SHARMA,,BOWLER
