Team,Number,Name,Overseas,Role
CHENNAI SUPER KINGS,1,SHANE WATSON,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,2,MURALI VIJAY,,BATTER
CHENNAI SUPER KINGS,3,FAF du PLESSIS,OVS,BATTER
CHENNAI SUPER KINGS,4,AMBATI RAYUDU,,BATTER
CHENNAI SUPER KINGS,5,MS DHONI (c),,WICKET KEEPER
CHENNAI SUPER KINGS,6,RAVINDRA JADEJA,,ALL ROUNDER
CHENNAI SUPER KINGS,7,DWAYNE BRAVO,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,8,PIYUSH CHAWLA,,BOWLER
CHENNAI SUPER KINGS,9,SHARDUL THAKUR,,BOWLER
CHENNAI SUPER KINGS,10,DEEPAK CHAHAR,,BOWLER
CHENNAI SUPER KINGS,11,JOSH HAZLEWOOD,OVS,BOWLER
DELHI CAPITALS,1,SHIKHAR DHAWAN,,BATTER
DELHI CAPITALS,2,PRITHVI SHAW,,BATTER
DELHI CAPITALS,3,SHREYAS IYER (c),,BATTER
DELHI CAPITALS,4,RISHABH PANT,,WICKET KEEPER
DELHI CAPITALS,5,MARCUS STOINIS,OVS,ALL ROUNDER
DELHI CAPITALS,6,SHIMRON HETMYER,OVS,BATTER
DELHI CAPITALS,7,AXAR PATEL,,ALL ROUNDER
DELHI CAPITALS,8,RAVICHANDRAN ASHWIN ,,ALL ROUNDER
DELHI CAPITALS,9,KAGISO RABADA,OVS,BOWLER
DELHI CAPITALS,10,ANRICH NORTJE,OVS,BOWLER
DELHI CAPITALS,11,HARSHAL PATEL,,BOWLER
KOLKATA KNIGHT RIDERS,1,SHUBMAN GILL,,BATTER
KOLKATA KNIGHT RIDERS,2,SUNIL NARINE,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,3,RAHUL TRIPATHI,,BATTER
KOLKATA KNIGHT RIDERS,4,NITISH RANA,,BATTER
KOLKATA KNIGHT RIDERS,5,EOIN MORGAN,OVS,BATTER
KOLKATA KNIGHT RIDERS,6,DINESH KARTHIK (c),,WICKET KEEPER
KOLKATA KNIGHT RIDERS,7,ANDRE RUSSELL,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,8,PAT CUMMINS,OVS,BOWLER
KOLKATA KNIGHT RIDERS,9,KULDEEP YADAV,,BOWLER
KOLKATA KNIGHT RIDERS,10,SHIVAM MAVI,,BOWLER
KOLKATA KNIGHT RIDERS,11,PRASIDH KRISHNA,,BOWLER
MUMBAI INDIANS,1,ROHIT SHARMA (c),,BATTER
MUMBAI INDIANS,2,QUINTON de KOCK,OVS,WICKET KEEPER
MUMBAI INDIANS,3,SURYAKUMAR YADAV,,BATTER
MUMBAI INDIANS,4,ISHAN KISHAN,,BATTER
MUMBAI INDIANS,5,KIERON POLLARD,OVS,ALL ROUNDER
MUMBAI INDIANS,6,KRUNAL PANDYA,,ALL ROUNDER
MUMBAI INDIANS,7,HARDIK PANDYA,,ALL ROUNDER
MUMBAI INDIANS,8,MITCHELL McCLENAGHAN,OVS,BOWLER
MUMBAI INDIANS,9,JASPRIT BUMRAH,,BOWLER
MUMBAI INDIANS,10,TRENT BOULT,OVS,BOWLER
MUMBAI INDIANS,11,RAHUL CHAHAR,,BOWLER
KINGS XI PUNJAB,1,CHRIS GAYLE,OVS,BATTER
KINGS XI PUNJAB,2,KL RAHUL (c),,WICKET KEEPER
KINGS XI PUNJAB,3,MAYANK AGARWAL,,BATTER
KINGS XI PUNJAB,4,SARFARAZ KHAN,,BATTER
KINGS XI PUNJAB,5,GLENN MAXWELL,OVS,ALL ROUNDER
KINGS XI PUNJAB,6,MANDEEP SINGH,,BATTER
KINGS XI PUNJAB,7,KRISHNAPPA GOWTHAM,,ALL ROUNDER
KINGS XI PUNJAB,8,CHRIS JORDAN,OVS,BOWLER
KINGS XI PUNJAB,9,MOHAMMED SHAMI,,BOWLER
KINGS XI PUNJAB,10,SHELDON COTTRELL,OVS,BOWLER
KINGS XI PUNJAB,11,MURUGAN ASHWIN,,BOWLER
RAJASTHAN ROYALS,1,ROBIN UTHAPPA,,BATTER
RAJASTHAN ROYALS,2,JOS BUTTLER,OVS,WICKET KEEPER
RAJASTHAN ROYALS,3,STEVE SMITH (c),OVS,BATTER
RAJASTHAN ROYALS,4,SANJU SAMSON,,BATTER
RAJASTHAN ROYALS,5,BEN STOKES,OVS,ALL ROUNDER
RAJASTHAN ROYALS,6,RIYAN PARAG,,ALL ROUNDER
RAJASTHAN ROYALS,7,MAHIPAL LOMROR,,ALL ROUNDER
RAJASTHAN ROYALS,8,JOFRA ARCHER,OVS,BOWLER
RAJASTHAN ROYALS,9,SHREYAS GOPAL,,BOWLER
RAJASTHAN ROYALS,10,VARUN AARON,,BOWLER
RAJASTHAN ROYALS,11,JAYDEV UNADKAT,,BOWLER
ROYAL CHALLENGERS BENGALURU,1,AARON FINCH,OVS,BATTER
ROYAL CHALLENGERS BENGALURU,2,DEVDUTT PADIKKAL,,BATTER
ROYAL CHALLENGERS BENGALURU,3,VIRAT KOHLI (c),OVS,BATTER
ROYAL CHALLENGERS BENGALURU,4,AB de VILLIERS,OVS,WICKET KEEPER
ROYAL CHALLENGERS BENGALURU,5,SHIVAM DUBE,,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,6,CHRIS MORRIS,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,7,WASHINGTON SUNDAR,,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,8,UMESH YADAV,,BOWLER
ROYAL CHALLENGERS BENGALURU,9,NAVDEEP SAINI,,BOWLER
ROYAL CHALLENGERS BENGALURU,10,MOHAMMED SIRAJ,,BOWLER
ROYAL CHALLENGERS BENGALURU,11,YUZVENDRA CHAHAL,,BOWLER
SUNRISERS HYDERABAD,1,DAVID WARNER (c),OVS,BATTER
