Team,Number,Name,Overseas,Role
CHENNAI SUPER KINGS,1,SHANE WATSON,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,2,FAF du PLESSIS,OVS,BATTER
CHENNAI SUPER KINGS,3,SURESH RAINA,,ALL ROUNDER
CHENNAI SUPER KINGS,4,AMBATI RAYUDU,,BATTER
CHENNAI SUPER KINGS,5,MS DHONI (c),,WICKET KEEPER
CHENNAI SUPER KINGS,6,RAVINDRA JADEJA,,ALL ROUNDER
CHENNAI SUPER KINGS,7,DWAYNE BRAVO,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,8,HARBHAJAN SINGH,,ALL ROUNDER
CHENNAI SUPER KINGS,9,SHARDUL THAKUR,,BOWLER
CHENNAI SUPER KINGS,10,DEEPAK CHAHAR,,BOWLER
CHENNAI SUPER KINGS,11,IMRAN TAHIR,OVS,BOWLER
DELHI CAPITALS,1,SHIKHAR DHAWAN,,BATTER
DELHI CAPITALS,2,PRITHVI SHAW,,BATTER
DELHI CAPITALS,3,SHREYAS IYER (c),,BATTER
DELHI CAPITALS,4,RISHABH PANT,,WICKET KEEPER
DELHI CAPITALS,5,COLIN INGRAM,OVS,BATTER
DELHI CAPITALS,6,CHRIS MORRIS,OVS,ALL ROUNDER
DELHI CAPITALS,7,AXAR PATEL,,ALL ROUNDER
DELHI CAPITALS,8,AMIT MISHRA,,BOWLER
DELHI CAPITALS,9,TRENT BOULT,OVS,BOWLER
DELHI CAPITALS,10,KAGISO RABADA,OVS,BOWLER
DELHI CAPITALS,11,HARSHAL PATEL,,BOWLER
KOLKATA KNIGHT RIDERS,1,CHRIS LYNN,OVS,BATTER
KOLKATA KNIGHT RIDERS,2,SUNIL NARINE,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,3,ROBIN UTHAPPA,,BATTER
KOLKATA KNIGHT RIDERS,4,NITISH RANA,,BATTER
KOLKATA KNIGHT RIDERS,5,SHUBMAN GILL,,BATTER
KOLKATA KNIGHT RIDERS,6,DINESH KARTHIK (c),,WICKET KEEPER
KOLKATA KNIGHT RIDERS,7,ANDRE RUSSELL,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,8,PIYUSH CHAWLA,,BOWLER
KOLKATA KNIGHT RIDERS,9,KULDEEP YADAV,,BOWLER
KOLKATA KNIGHT RIDERS,10,LOCKIE FERGUSON,OVS,BOWLER
KOLKATA KNIGHT RIDERS,11,PRASIDH KRISHNA,,BOWLER
MUMBAI INDIANS,1,ROHIT SHARMA (c),,BATTER
MUMBAI INDIANS,2,QUINTON de KOCK,OVS,WICKET KEEPER
MUMBAI INDIANS,3,SURYAKUMAR YADAV,,BATTER
MUMBAI INDIANS,4,YUVRAJ SINGH,,BATTER
MUMBAI INDIANS,5,KIERON POLLARD,OVS,ALL ROUNDER
MUMBAI INDIANS,6,KRUNAL PANDYA,,ALL ROUNDER
MUMBAI INDIANS,7,HARDIK PANDYA,,ALL ROUNDER
MUMBAI INDIANS,8,MITCHELL McCLENAGHAN,OVS,BOWLER
MUMBAI INDIANS,9,JASPRIT BUMRAH,,BOWLER
MUMBAI INDIANS,10,JASON BEHRENDORFF,OVS,BOWLER
MUMBAI INDIANS,11,MAYANK MARKANDE,,BOWLER
