Team,Number,Name,Overseas,Role
KINGS XI PUNJAB,1,CHRIS GAYLE,OVS,BATTER
KINGS XI PUNJAB,2,KL RAHUL ,,WICKET KEEPER
KINGS XI PUNJAB,3,MAYANK AGARWAL,,BATTER
KINGS XI PUNJAB,4,SARFARAZ KHAN,,BATTER
KINGS XI PUNJAB,5,DAVID MILLER,OVS,BATTER
KINGS XI PUNJAB,6,SAM CURRAN,OVS,ALL ROUNDER
KINGS XI PUNJAB,7,AXAR PATEL,,ALL ROUNDER
KINGS XI PUNJAB,8,RAVICHANDRAN ASHWIN (c),,ALL ROUNDER
KINGS XI PUNJAB,9,MOHAMMED SHAMI,,BOWLER
KINGS XI PUNJAB,10,ANDREW TYE,OVS,BOWLER
KINGS XI PUNJAB,11,VARUN CHAKRAVARTHY,,BOWLER
RAJASTHAN ROYALS,1,AJINKYA RAHANE (c),,BATTER
RAJASTHAN ROYALS,2,JOS BUTTLER,OVS,WICKET KEEPER
RAJASTHAN ROYALS,3,STEVE SMITH,OVS,BATTER
RAJASTHAN ROYALS,4,SANJU SAMSON,,BATTER
RAJASTHAN ROYALS,5,BEN STOKES,OVS,ALL ROUNDER
RAJASTHAN ROYALS,6,RIYAN PARAG,,ALL ROUNDER
RAJASTHAN ROYALS,7,STUART BINNY,,ALL ROUNDER
RAJASTHAN ROYALS,8,KRISHNAPPA GOWTHAM,,ALL ROUNDER
RAJASTHAN ROYALS,9,JOFRA ARCHER,OVS,BOWLER
RAJASTHAN ROYALS,10,SHREYAS GOPAL,,BOWLER
RAJASTHAN ROYALS,11,JAYDEV UNADKAT,,BOWLER
ROYAL CHALLENGERS BENGALURU,1,PARTHIV PATEL,,WICKET KEEPER
ROYAL CHALLENGERS BENGALURU,2,VIRAT KOHLI (c),,BATTER
ROYAL CHALLENGERS BENGALURU,3,AB de VILLIERS,OVS,BATTER
ROYAL CHALLENGERS BENGALURU,4,MOEEN ALI,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,5,SHIMRON HETMYER,OVS,BATTER
ROYAL CHALLENGERS BENGALURU,6,COLIN de GRANDHOMME,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,7,SHIVAM DUBE,,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,8,WASHINGTON SUNDAR,,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,9,UMESH YADAV,,BOWLER
ROYAL CHALLENGERS BENGALURU,10,MOHAMMED SIRAJ,,BOWLER
ROYAL CHALLENGERS BENGALURU,11,YUZVENDRA CHAHAL,,BOWLER
SUNRISERS HYDERABAD,1,DAVID WARNER,OVS,BATTER
SUNRISERS HYDERABAD,2,JONNY BAIRSTOW,OVS,WICKET KEEPER
SUNRISERS HYDERABAD,3,KANE WILLIAMSON (c),OVS,BATTER
SUNRISERS HYDERABAD,4,MANISH PANDEY,,BATTER
SUNRISERS HYDERABAD,5,YUSUF PATHAN,,ALL ROUNDER
SUNRISERS HYDERABAD,6,VIJAY SHANKAR,,ALL ROUNDER
SUNRISERS HYDERABAD,7,DEEPAK HOODA,,BATTER
SUNRISERS HYDERABAD,8,RASHID KHAN,OVS,BOWLER
SUNRISERS HYDERABAD,9,BHUVNESHWAR KUMAR,,BOWLER
SUNRISERS HYDERABAD,10,SIDDHARTH KAUL,,BOWLER
SUNRISERS HYDERABAD,11,SANDEEP SHARMA,,BOWLER
