Team,Number,Name,Overseas,Role
RISING PUNE SUPERGIANTS,1,AJINKYA RAHANE,,BATTER
RISING PUNE SUPERGIANTS,2,FAF du PLESSIS,OVS,BATTER
RISING PUNE SUPERGIANTS,3,KEVIN PIETERSEN,OVS,BATTER
RISING PUNE SUPERGIANTS,4,STEVE SMITH,OVS,BATTER
RISING PUNE SUPERGIANTS,5,MS DHONI (c),,WICKET KEEPER
RISING PUNE SUPERGIANTS,6,THISARA PERERA,OVS,ALL ROUNDER
RISING PUNE SUPERGIANTS,7,IRFAN PATHAN,,ALL ROUNDER
RISING PUNE SUPERGIANTS,8,RAJAT BHATIA,,ALL ROUNDER
RISING PUNE SUPERGIANTS,9,RAVICHANDRAN ASHWIN,,BOWLER
RISING PUNE SUPERGIANTS,10,RP SINGH,,BOWLER
RISING PUNE SUPERGIANTS,11,ISHANT SHARMA,,BOWLER
DELHI DAREDEVILS,1,SANJU SAMSON,,BATTER
DELHI DAREDEVILS,2,QUINTON de KOCK,OVS,WICKET KEEPER
DELHI DAREDEVILS,3,KARUN NAIR,,BATTER
DELHI DAREDEVILS,4,SHREYAS IYER,,BATTER
DELHI DAREDEVILS,5,RISHABH PANT,,BATTER
DELHI DAREDEVILS,6,CHRIS MORRIS,OVS,ALL ROUNDER
DELHI DAREDEVILS,7,CARLOS BRATHWAITE,OVS,ALL ROUNDER
DELHI DAREDEVILS,8,ZAHEER KHAN (c),,BOWLER
DELHI DAREDEVILS,9,AMIT MISHRA,,BOWLER
DELHI DAREDEVILS,10,IMRAN TAHIR,OVS,BOWLER
DELHI DAREDEVILS,11,MOHAMMED SHAMI,,BOWLER
KOLKATA KNIGHT RIDERS,1,GAUTAM GAMBHIR (c),,BATTER
KOLKATA KNIGHT RIDERS,2,ROBIN UTHAPPA (wk),,WICKET KEEPER
KOLKATA KNIGHT RIDERS,3,MANISH PANDEY,,BATTER
KOLKATA KNIGHT RIDERS,4,YUSUF PATHAN,,ALL ROUNDER
KOLKATA KNIGHT RIDERS,5,SHAKIB AL HASAN,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,6,ANDRE RUSSELL,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,7,SURYAKUMAR YADAV,,BATTER
KOLKATA KNIGHT RIDERS,8,SUNIL NARINE,OVS,BOWLER
KOLKATA KNIGHT RIDERS,9,PIYUSH CHAWLA,,BOWLER
KOLKATA KNIGHT RIDERS,10,MORNE MORKEL,OVS,BOWLER
KOLKATA KNIGHT RIDERS,11,UMESH YADAV,,BOWLER
MUMBAI INDIANS,1,LENDL SIMMONS,OVS,BATTER
MUMBAI INDIANS,2,PARTHIV PATEL,,WICKET KEEPER
MUMBAI INDIANS,3,ROHIT SHARMA (c),,BATTER
MUMBAI INDIANS,4,AMBATI RAYUDU,,BATTER
MUMBAI INDIANS,5,KIERON POLLARD,OVS,ALL ROUNDER
MUMBAI INDIANS,6,HARDIK PANDYA,,ALL ROUNDER
MUMBAI INDIANS,7,KRUNAL PANDYA,,ALL ROUNDER
MUMBAI INDIANS,8,HARBHAJAN SINGH,,ALL ROUNDER
MUMBAI INDIANS,9,LASITH MALINGA,OVS,BOWLER
MUMBAI INDIANS,10,MITCHELL McCLENAGHAN,OVS,BOWLER
MUMBAI INDIANS,11,JASPRIT BUMRAH,,BOWLER
KINGS XI PUNJAB,1,MURALI VIJAY (c),,BATTER
KINGS XI PUNJAB,2,MANAN VOHRA,,BATTER
KINGS XI PUNJAB,3,SHAUN MARSH,OVS,BATTER
KINGS XI PUNJAB,4,GLENN MAXWELL ,OVS,ALL ROUNDER
KINGS XI PUNJAB,5,DAVID MILLER ,OVS,BATTER
KINGS XI PUNJAB,6,WRIDDHIMAN SAHA,,WICKET KEEPER
KINGS XI PUNJAB,7,AXAR PATEL,,ALL ROUNDER
KINGS XI PUNJAB,8,MITCHELL JOHNSON,OVS,BOWLER
KINGS XI PUNJAB,9,MOHIT SHARMA,,BOWLER
KINGS XI PUNJAB,10,KC CARIAPPA,,BOWLER
KINGS XI PUNJAB,11,SANDEEP SHARMA,,BOWLER
GUJARAT LIONS,1,BRENDON McCULLUM,OVS,BATTER
GUJARAT LIONS,2,DWAYNE BRAVO,OVS,ALL ROUNDER
GUJARAT LIONS,3,SURESH RAINA (c),,BATTER
GUJARAT LIONS,4,AKSHADEEP NATH,,BATTER
GUJARAT LIONS,5,DINESH KARTHIK,,WICKET KEEPER
GUJARAT LIONS,6,RAVINDRA JADEJA,,ALL ROUNDER
GUJARAT LIONS,7,DWAYNE BRAVO,OVS,ALL ROUNDER
GUJARAT LIONS,8,DALE STEYN,OVS,BOWLER
GUJARAT LIONS,9,PRAVEEN KUMAR,,BOWLER
GUJARAT LIONS,10,DHAWAL KULKARNI,,BOWLER
GUJARAT LIONS,11,SHADAB JAKATI,,BOWLER
ROYAL CHALLENGERS BENGALURU,1,CHRIS GAYLE,OVS,BATTER
ROYAL CHALLENGERS BENGALURU,2,VIRAT KOHLI (c),,BATTER
ROYAL CHALLENGERS BENGALURU,3,AB de VILLIERS,OVS,BATTER
ROYAL CHALLENGERS BENGALURU,4,SHANE WATSON,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,5,KEDAR JADHAV,,WICKET KEEPER
ROYAL CHALLENGERS BENGALURU,6,SARFARAZ KHAN,,BATTER
ROYAL CHALLENGERS BENGALURU,7,STUART BINNY,,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,8,DAVID WIESE,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,9,IQBAL ABDULLAH,,BOWLER
ROYAL CHALLENGERS BENGALURU,10,SREENATH ARAVIND,,BOWLER
ROYAL CHALLENGERS BENGALURU,11,YUZVENDRA CHAHAL,,BOWLER
SUNRISERS HYDERABAD,1,DAVID WARNER (c),OVS,BATTER
SUNRISERS HYDERABAD,2,SHIKHAR DHAWAN,,BATTER
SUNRISERS HYDERABAD,3,KANE WILLIAMSON,OVS,BATTER
SUNRISERS HYDERABAD,4,YUVRAJ SINGH,,ALL ROUNDER
SUNRISERS HYDERABAD,5,NAMAN OJHA,,WICKET KEEPER
SUNRISERS HYDERABAD,6,BEN CUTTING,OVS,ALL ROUNDER
SUNRISERS HYDERABAD,7,BIPUL SHARMA,,ALL ROUNDER
SUNRISERS HYDERABAD,8,KARN SHARMA,,BOWLER
SUNRISERS HYDERABAD,9,BHUVNESHWAR KUMAR,,BOWLER
SUNRISERS HYDERABAD,10,ASHISH NEHRA,,BOWLER
SUNRISERS HYDERABAD,11,MUSTAFIZUR RAHMAN,OVS,BOWLER
