Team,Number,Name,Overseas,Role
PUNJAB KINGS,1,SHIKHAR DHAWAN (c),,BATTER
PUNJAB KINGS,2,PRABHSIMRAN SINGH,,BATTER
PUNJAB KINGS,3,BHANUKA RAJAPAKSA,OVS,BATTER
PUNJAB KINGS,4,LIAM LIVINGSTONE,OVS,ALL ROUNDER
PUNJAB KINGS,5,SHAHRUKH KHAN,,BATTER
PUNJAB KINGS,6,JITESH SHARMA,,WICKET KEEPER
PUNJAB KINGS,7,SAM CURRAN,OVS,ALL ROUNDER
PUNJAB KINGS,8,RISHI DHAWAN,,ALL ROUNDER
PUNJAB KINGS,9,HARPREET BRAR,,ALL ROUNDER
PUNJAB KINGS,10,KAGISO RABADA,OVS,BOWLER
PUNJAB KINGS,11,ARSHDEEP SINGH,,BOWLER
PUNJAB KINGS,IMPACT,RAHUL CHAHAR,,BOWLER
RAJASTHAN ROYALS,1,YASHASVI JAISWAL,,BATTER
RAJASTHAN ROYALS,2,JOS BUTTLER,OVS,BATTER
RAJASTHAN ROYALS,3,SANJU SAMSON (c),,WICKET KEEPER
RAJASTHAN ROYALS,4,DEVDUTT PADIKKAL,,BATTER
RAJASTHAN ROYALS,5,RIYAN PARAG,,ALL ROUNDER
RAJASTHAN ROYALS,6,DHRUV JUREL,,BATTER
RAJASTHAN ROYALS,7,SHIMRON HETMYER,OVS,BATTER
RAJASTHAN ROYALS,8,JASON HOLDER,OVS,ALL ROUNDER
RAJASTHAN ROYALS,9,RAVICHANDRAN ASHWIN,,ALL ROUNDER
RAJASTHAN ROYALS,10,TRENT BOULT,OVS,BOWLER
RAJASTHAN ROYALS,11,PRASIDH KRISHNA,,BOWLER
RAJASTHAN ROYALS,IMPACT,YUZVENDRA CHAHAL,,BOWLER
ROYAL CHALLENGERS BENGALURU,1,FAF du PLESSIS (c),OVS,BATTER
ROYAL CHALLENGERS BENGALURU,2,VIRAT KOHLI,,BATTER
ROYAL CHALLENGERS BENGALURU,3,RAJAT PATIDAR ,,BATTER
ROYAL CHALLENGERS BENGALURU,4,GLENN MAXWELL,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,5,MAHIPAL LOMROR,,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,6,DINESH KARTHIK,,WICKET KEEPER
ROYAL CHALLENGERS BENGALURU,7,SUYASH PRABHUDESSAI,,BATTER
ROYAL CHALLENGERS BENGALURU,8,SHAHBAZ AHMED,,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,9,WANINDU HASARANGA,OVS,ALL ROUNDER
ROYAL CHALLENGERS BENGALURU,10,HARSHAL PATEL,,BOWLER
ROYAL CHALLENGERS BENGALURU,11,JOSH HAZLEWOOD,OVS,BOWLER
ROYAL CHALLENGERS BENGALURU,IMPACT,MOHAMMED SIRAJ,,BOWLER
SUNRISERS HYDERABAD,1,MAYANK AGARWAL,,BATTER
SUNRISERS HYDERABAD,2,ABHISHEK SHARMA,,ALL ROUNDER
SUNRISERS HYDERABAD,3,RAHUL TRIPATHI,,BATTER
SUNRISERS HYDERABAD,4,AIDEN MARKRAM (c),OVS,BATTER
SUNRISERS HYDERABAD,5,HEINRICH KLAASEN,OVS,WICKET KEEPER
SUNRISERS HYDERABAD,6,HARRY BROOK,OVS,BATTER
SUNRISERS HYDERABAD,7,ABDUL SAMAD,,BATTER
SUNRISERS HYDERABAD,8,WASHINGTON SUNDAR,,ALL ROUNDER
SUNRISERS HYDERABAD,9,MARCO JANSEN,OVS,ALL ROUNDER
SUNRISERS HYDERABAD,10,BHUVNESHWAR KUMAR,,BOWLER
SUNRISERS HYDERABAD,11,UMRAN MALIK,,BOWLER
SUNRISERS HYDERABAD,IMPACT,T NATARAJAN,,BOWLER
