Team,Number,Name,Overseas,Role
CHENNAI SUPER KINGS,1,RUTURAJ GAIKWAD (c),,BATTER
CHENNAI SUPER KINGS,2,DEVON CONWAY,OVS,BATTER
CHENNAI SUPER KINGS,3,BEN STOKES,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,4,AMBATI RAYUDU,,BATTER
CHENNAI SUPER KINGS,5,SHIVAM DUBE,,ALL ROUNDER
CHENNAI SUPER KINGS,6,RAVINDRA JADEJA,,ALL ROUNDER
CHENNAI SUPER KINGS,7,MOEEN ALI,OVS,ALL ROUNDER
CHENNAI SUPER KINGS,8,MS DHONI,,WICKET KEEPER
CHENNAI SUPER KINGS,9,DEEPAK CHAHAR,,BOWLER
CHENNAI SUPER KINGS,10,MAHEESH THEEKSHANA,OVS,BOWLER
CHENNAI SUPER KINGS,11,TUSHAR DESHPANDE,,BOWLER
CHENNAI SUPER KINGS,IMPACT,MUKESH CHOUDHARY,,BOWLER
DELHI CAPITALS,1,DAVID WARNER (c),OVS,BATTER
DELHI CAPITALS,2,PRITHVI SHAW,,BATTER
DELHI CAPITALS,3,PHIL SALT,OVS,WICKET KEEPER
DELHI CAPITALS,4,SARFARAZ KHAN,,BATTER
DELHI CAPITALS,5,MANISH PANDEY,OVS,BATTER
DELHI CAPITALS,6,ROVMAN POWELL,,BATTER
DELHI CAPITALS,7,AXAR PATEL,,ALL ROUNDER
DELHI CAPITALS,8,LALIT YADAV,,ALL ROUNDER
DELHI CAPITALS,9,KULDEEP YADAV,,BOWLER
DELHI CAPITALS,10,ANRICH NORTJE,OVS,BOWLER
DELHI CAPITALS,11,KHALEEL AHMED,,BOWLER
DELHI CAPITALS,IMPACT,MUKESH KUMAR,,BOWLER
GUJARAT TITANS,1,SHUBMAN GILL ,,BATTER
GUJARAT TITANS,2,WRIDDHIMAN SAHA,,WICKET KEEPER
GUJARAT TITANS,3,KANE WILLIAMSON,OVS,BATTER
GUJARAT TITANS,4,VIJAY SHANKAR,,ALL ROUNDER
GUJARAT TITANS,5,HARDIK PANDYA (c),,ALL ROUNDER
GUJARAT TITANS,6,DAVID MILLER,OVS,BATTER
GUJARAT TITANS,7,RAHUL TEWATIA,,ALL ROUNDER
GUJARAT TITANS,8,RASHID KHAN,OVS,ALL ROUNDER
GUJARAT TITANS,9,R SAI KISHORE,,BOWLER
GUJARAT TITANS,10,MOHAMMED SHAMI,,BOWLER
GUJARAT TITANS,11,ALZARRI JOSEPH,OVS,BOWLER
GUJARAT TITANS,IMPACT,YASH DAYAL,,BOWLER
KOLKATA KNIGHT RIDERS,1,RAHMANULLAH GURBAZ,OVS,WICKET KEEPER
KOLKATA KNIGHT RIDERS,2,VENKATESH IYER,,ALL ROUNDER
KOLKATA KNIGHT RIDERS,3,NARAYAN JAGADEESAN,,BATTER
KOLKATA KNIGHT RIDERS,4,NITISH RANA (c),,BATTER
KOLKATA KNIGHT RIDERS,5,RINKU SINGH,,BATTER
KOLKATA KNIGHT RIDERS,6,MANDEEP SINGH,,BATTER
KOLKATA KNIGHT RIDERS,7,ANDRE RUSSELL,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,8,SUNIL NARINE,OVS,ALL ROUNDER
KOLKATA KNIGHT RIDERS,9,SHARDUL THAKUR,,ALL ROUNDER
KOLKATA KNIGHT RIDERS,10,LOCKIE FERGUSON,OVS,BOWLER
KOLKATA KNIGHT RIDERS,11,UMESH YADAV,,BOWLER
KOLKATA KNIGHT RIDERS,IMPACT,VARUN CHAKRAVARTHY,,BOWLER
LUCKNOW SUPER GIANTS,1,KL RAHUL (c),,BATTER
LUCKNOW SUPER GIANTS,2,QUINTON de KOCK ,OVS,WICKET KEEPER
LUCKNOW SUPER GIANTS,3,DEEPAK HOODA,,BATTER
LUCKNOW SUPER GIANTS,4,NICHOLAS POORAN,OVS,BATTER
LUCKNOW SUPER GIANTS,5,MARCUS STOINIS,OVS,ALL ROUNDER
LUCKNOW SUPER GIANTS,6,AYUSH BADONI,,ALL ROUNDER
LUCKNOW SUPER GIANTS,7,KRUNAL PANDYA,,ALL ROUNDER
LUCKNOW SUPER GIANTS,8,KRISHNAPPA GOWTHAM,,ALL ROUNDER
LUCKNOW SUPER GIANTS,9,MARK WOOD,OVS,BOWLER
LUCKNOW SUPER GIANTS,10,AVESH KHAN,,BOWLER
LUCKNOW SUPER GIANTS,11,RAVI BISHNOI,,BOWLER
LUCKNOW SUPER GIANTS,IMPACT,MOHSIN KHAN,,BOWLER
MUMBAI INDIANS,1,ROHIT SHARMA (c),,BATTER
MUMBAI INDIANS,2,ISHAN KISHAN,,WICKET KEEPER
MUMBAI INDIANS,3,CAMERON GREEN,OVS,ALL ROUNDER
MUMBAI INDIANS,4,SURYAKUMAR YADAV,,BATTER
MUMBAI INDIANS,5,TILAK VARMA,,ALL ROUNDER
MUMBAI INDIANS,6,TIM DAVID,OVS,BATTER
MUMBAI INDIANS,7,NEHAL WADHERA,,BATTER
MUMBAI INDIANS,8,HRITHIK SHOKEEN,,ALL ROUNDER
MUMBAI INDIANS,9,JOFRA ARCHER,OVS,BOWLER
MUMBAI INDIANS,10,PIYUSH CHAWLA,,BOWLER
MUMBAI INDIANS,11,JASON BEHRENDORFF,OVS,BOWLER
MUMBAI INDIANS,IMPACT,ARSHAD KHAN,,BOWLER
